time_fs,time_ps,clustering_coefficient
2000.0,2.0,0.007978723404255319
2000.5,2.0005,0.007978723404255319
2001.0,2.001,0.007978723404255319
2001.5,2.0015,0.007978723404255319
2002.0,2.002,0.007978723404255319
2002.5,2.0025,0.007978723404255319
2003.0,2.003,0.007874015748031496
2003.5,2.0035,0.007772020725388601
2004.0,2.004,0.007772020725388601
2004.5,2.0045,0.007772020725388601
2005.0,2.005,0.007772020725388601
2005.5,2.0055,0.007772020725388601
2006.0,2.006,0.007772020725388601
2006.5,2.0065,0.007772020725388601
2007.0,2.007,0.007772020725388601
2007.5,2.0075,0.007772020725388601
2008.0,2.008,0.007772020725388601
2008.5,2.0085,0.007772020725388601
2009.0,2.009,0.007772020725388601
2009.5,2.0095,0.007894736842105263
2010.0,2.01,0.007894736842105263
2010.5,2.0105,0.007978723404255319
2011.0,2.011,0.008064516129032258
2011.5,2.0115,0.008064516129032258
2012.0,2.012,0.008108108108108109
2012.5,2.0125,0.008108108108108109
2013.0,2.013,0.008108108108108109
2013.5,2.0135,0.008241758241758242
2014.0,2.014,0.008241758241758242
2014.5,2.0145,0.008241758241758242
2015.0,2.015,0.016216216216216217
2015.5,2.0155,0.016216216216216217
2016.0,2.016,0.016216216216216217
2016.5,2.0165,0.016216216216216217
2017.0,2.017,0.016483516483516484
2017.5,2.0175,0.016483516483516484
2018.0,2.018,0.016483516483516484
2018.5,2.0185,0.016483516483516484
2019.0,2.019,0.016483516483516484
2019.5,2.0195,0.016483516483516484
2020.0,2.02,0.016260162601626018
2020.5,2.0205,0.016042780748663103
2021.0,2.021,0.016042780748663103
2021.5,2.0215,0.016042780748663103
2022.0,2.022,0.016042780748663103
2022.5,2.0225,0.015789473684210527
2023.0,2.023,0.023255813953488372
2023.5,2.0235,0.023255813953488372
2024.0,2.024,0.015789473684210527
2024.5,2.0245,0.0234375
2025.0,2.025,0.0234375
2025.5,2.0255,0.0234375
2026.0,2.026,0.0234375
2026.5,2.0265,0.015873015873015872
2027.0,2.027,0.015873015873015872
2027.5,2.0275,0.015873015873015872
2028.0,2.028,0.016172506738544475
2028.5,2.0285,0.016260162601626018
2029.0,2.029,0.00821917808219178
2029.5,2.0295,0.008403361344537815
2030.0,2.03,0.008241758241758242
2030.5,2.0305,0.008356545961002786
2031.0,2.031,0.016483516483516484
2031.5,2.0315,0.016483516483516484
2032.0,2.032,0.016483516483516484
2032.5,2.0325,0.016304347826086956
2033.0,2.033,0.016304347826086956
2033.5,2.0335,0.016304347826086956
2034.0,2.034,0.016304347826086956
2034.5,2.0345,0.016304347826086956
2035.0,2.035,0.016304347826086956
2035.5,2.0355,0.016304347826086956
2036.0,2.036,0.016304347826086956
2036.5,2.0365,0.016304347826086956
2037.0,2.037,0.016304347826086956
2037.5,2.0375,0.016304347826086956
2038.0,2.038,0.016304347826086956
2038.5,2.0385,0.016304347826086956
2039.0,2.039,0.016304347826086956
2039.5,2.0395,0.01652892561983471
2040.0,2.04,0.01652892561983471
2040.5,2.0405,0.01639344262295082
2041.0,2.041,0.01662049861495845
2041.5,2.0415,0.01680672268907563
2042.0,2.042,0.01680672268907563
2042.5,2.0425,0.01680672268907563
2043.0,2.043,0.024861878453038673
2043.5,2.0435,0.024861878453038673
2044.0,2.044,0.024456521739130436
2044.5,2.0445,0.024456521739130436
2045.0,2.045,0.024390243902439025
2045.5,2.0455,0.024390243902439025
2046.0,2.046,0.024324324324324326
2046.5,2.0465,0.024324324324324326
2047.0,2.047,0.024324324324324326
2047.5,2.0475,0.024324324324324326
2048.0,2.048,0.024324324324324326
2048.5,2.0485,0.024324324324324326
2049.0,2.049,0.023936170212765957
2049.5,2.0495,0.02356020942408377
2050.0,2.05,0.015957446808510637
2050.5,2.0505,0.015665796344647518
2051.0,2.051,0.023255813953488372
2051.5,2.0515,0.023255813953488372
2052.0,2.052,0.023255813953488372
2052.5,2.0525,0.022900763358778626
2053.0,2.053,0.022556390977443608
2053.5,2.0535,0.022556390977443608
2054.0,2.054,0.022900763358778626
2054.5,2.0545,0.022900763358778626
2055.0,2.055,0.022900763358778626
2055.5,2.0555,0.03
2056.0,2.056,0.0297029702970297
2056.5,2.0565,0.0297029702970297
2057.0,2.057,0.03
2057.5,2.0575,0.030456852791878174
2058.0,2.058,0.030456852791878174
2058.5,2.0585,0.030456852791878174
2059.0,2.059,0.03076923076923077
2059.5,2.0595,0.0316622691292876
2060.0,2.06,0.04580152671755725
2060.5,2.0605,0.04580152671755725
2061.0,2.061,0.04580152671755725
2061.5,2.0615,0.05172413793103448
2062.0,2.062,0.05172413793103448
2062.5,2.0625,0.050970873786407765
2063.0,2.063,0.044444444444444446
2063.5,2.0635,0.044444444444444446
2064.0,2.064,0.044444444444444446
2064.5,2.0645,0.03712871287128713
2065.0,2.065,0.03768844221105527
2065.5,2.0655,0.03768844221105527
2066.0,2.066,0.030848329048843187
2066.5,2.0665,0.030848329048843187
2067.0,2.067,0.030848329048843187
2067.5,2.0675,0.030848329048843187
2068.0,2.068,0.030848329048843187
2068.5,2.0685,0.030848329048843187
2069.0,2.069,0.030848329048843187
2069.5,2.0695,0.030848329048843187
2070.0,2.07,0.030848329048843187
2070.5,2.0705,0.030848329048843187
2071.0,2.071,0.030848329048843187
2071.5,2.0715,0.030848329048843187
2072.0,2.072,0.030848329048843187
2072.5,2.0725,0.030848329048843187
